Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_material_id,SRA Study
SRR36115451,WGS,301,706395538,PRJNA1353588,SAMN52932204,Metagenome or environmental,245129659,TEXAS TECH UNIVERSITY,2018,public,"run.zq,fastq,sra","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX31160125,USA,North America,USA: Texas,Odocoileus hemionus,Illumina NovaSeq 6000,feces,30.7 N 104.8 W,TK256540,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2025-11-20T00:00:00Z,2025-11-20T19:26:00Z,1,TK256540,sample10,SRP647314
SRR36115452,WGS,301,646502408,PRJNA1353588,SAMN52932203,Metagenome or environmental,226632420,TEXAS TECH UNIVERSITY,2018,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX31160124,USA,North America,USA: Texas,Odocoileus hemionus,Illumina NovaSeq 6000,feces,30.7 N 104.8 W,TK256539,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2025-11-20T00:00:00Z,2025-11-20T19:27:00Z,1,TK256539,sample9,SRP647314
SRR36115453,WGS,301,347306092,PRJNA1353588,SAMN52932202,Metagenome or environmental,121402187,TEXAS TECH UNIVERSITY,2018,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX31160123,USA,North America,USA: Texas,Odocoileus hemionus,Illumina NovaSeq 6000,feces,30.7 N 104.8 W,TK256538,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2025-11-20T00:00:00Z,2025-11-20T19:28:00Z,1,TK256538,sample8,SRP647314
SRR36115454,WGS,301,275467549,PRJNA1353588,SAMN52932201,Metagenome or environmental,96697420,TEXAS TECH UNIVERSITY,2018,public,"fastq,sra,run.zq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX31160122,USA,North America,USA: Texas,Odocoileus hemionus,Illumina NovaSeq 6000,feces,30.7 N 104.8 W,TK256537,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2025-11-20T00:00:00Z,2025-11-20T19:29:00Z,1,TK256537,sample7,SRP647314
SRR36115455,WGS,301,361552476,PRJNA1353588,SAMN52932200,Metagenome or environmental,125261521,TEXAS TECH UNIVERSITY,2018,public,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX31160121,USA,North America,USA: Texas,Odocoileus hemionus,Illumina NovaSeq 6000,feces,30.7 N 104.8 W,TK256530,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2025-11-20T00:00:00Z,2025-11-20T19:30:00Z,1,TK256530,sample6,SRP647314
SRR36115489,WGS,301,397338251,PRJNA1353588,SAMN52932214,Metagenome or environmental,136908192,TEXAS TECH UNIVERSITY,2019,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX31160087,USA,North America,USA: Texas,Ammotragus lervia,Illumina NovaSeq 6000,feces,30.7 N 104.8 W,TK256601,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2025-11-20T00:00:00Z,2025-11-20T19:37:00Z,1,TK256601,sample20,SRP647314
SRR36115490,WGS,301,372916525,PRJNA1353588,SAMN52932213,Metagenome or environmental,129324804,TEXAS TECH UNIVERSITY,2019,public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX31160086,USA,North America,USA: Texas,Ammotragus lervia,Illumina NovaSeq 6000,feces,30.7 N 104.8 W,TK256600,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2025-11-20T00:00:00Z,2025-11-20T19:37:00Z,1,TK256600,sample19,SRP647314
SRR36115491,WGS,301,378848002,PRJNA1353588,SAMN52932212,Metagenome or environmental,131354724,TEXAS TECH UNIVERSITY,2019,public,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX31160085,USA,North America,USA: Texas,Ammotragus lervia,Illumina NovaSeq 6000,feces,30.7 N 104.8 W,TK256599,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2025-11-20T00:00:00Z,2025-11-20T19:37:00Z,1,TK256599,sample18,SRP647314
SRR36115492,WGS,301,392649207,PRJNA1353588,SAMN52932211,Metagenome or environmental,135069049,TEXAS TECH UNIVERSITY,2018,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX31160084,USA,North America,USA: Texas,Ovis canadensis,Illumina NovaSeq 6000,feces,30.7 N 104.8 W,TK256551,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2025-11-20T00:00:00Z,2025-11-20T19:37:00Z,1,TK256551,sample17,SRP647314
SRR36115493,WGS,301,363725503,PRJNA1353588,SAMN52932210,Metagenome or environmental,125004480,TEXAS TECH UNIVERSITY,2018,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX31160083,USA,North America,USA: Texas,Ovis canadensis,Illumina NovaSeq 6000,feces,30.7 N 104.8 W,TK256550,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2025-11-20T00:00:00Z,2025-11-20T19:37:00Z,1,TK256550,sample16,SRP647314
